image_path,class
data/processed/train/9de7b8d374b34b72beffc2297787f6b3.jpg,30
data/processed/train/250ddfcac5764324a5cf776d7cb53d3b.jpg,61
data/processed/train/bac3a82e15d64c759954fd090073278b.jpg,67
data/processed/train/3cb9e08fe70742caa9bf1003f968ee1c.jpg,84
data/processed/train/c7a27dd6c23c4e069a8d3fa6d5449456.jpeg,142
data/processed/train/5851dbe6da574c3e874c5e60adb47bad.jpg,132
data/processed/train/3e4d21a6c07c4bc8beaf7e24a167bd80.jpg,104
data/processed/train/3cad27f82ed642348443529cb787ba1d.jpg,62
data/processed/train/178ad1532d3a457b91be331cad3cd1fc.jpg,14
data/processed/train/cb68471d84004c259e28033a78826263.jpg,86
data/processed/train/032305a7eb014387905cb5a11337c4e9.jpg,31
data/processed/train/0f14527de6c24852a11f480cb6843e18.jpg,111
data/processed/train/44a6adc8aa7f4116b648db08e87e7d92.jpg,19
data/processed/train/f6f8e2c51b724480bb07044cdd603bba.jpg,81
data/processed/train/Screen Shot 2019-08-12 at 8.36.00 PM.png,124
data/processed/train/43195502bd4c4cc686975c07d1b1a0ed.jpg,92
data/processed/train/841585c2323245d89ce7901b5fbfb644.jpg,41
data/processed/train/ff6a510396b943dbafb70bc2207391b3.jpg,64
data/processed/train/7eb3812994934b1ab149fe91d15efcb1.jpg,69
data/processed/train/470d5020c2264395b618ff0b1a78f2e1.jpg,16
data/processed/train/e5b4f6e930ac43c190d27cbd9136488c.jpg,132
data/processed/train/615dea76d8b3443d924ae37b3452cadf.jpg,110
data/processed/train/00000028.jpg,83
data/processed/train/b87106163949460aabd22fd8c120aeb0.jpg,101
data/processed/train/ca47c2f8099e4299a20e1e8673226b37.jpg,72
data/processed/train/7a2ecffa0c4f4d0f90ff14e6254692a9.jpg,69
data/processed/train/e9b003efac4044c0abd657be84e3a189.jpg,16
data/processed/train/05da808f2caa4bf0a38449d4b172967a.jpg,102
data/processed/train/2e24c47f51c74f049e307bfff318e910.jpg,68
data/processed/train/3bbd773590f548c9961cdf9810253e2c.jpg,19
data/processed/train/285a575c4a784af99b296e54894960a2.jpg,51
data/processed/train/7fbf46ea83784cfda36e162f659a9a60.jpg,142
data/processed/train/2c1fe137b8424e7d9d47a16585977d06.jpg,139
data/processed/train/58d91a4278594a54b6a1b4ed902fcb37.jpg,75
data/processed/train/86b9b3c483744674a068fa269e23e338.jpg,48
data/processed/train/4dc265f89d31465081842feb2f990f89.jpg,144
data/processed/train/17ca3a97a048407ab853df33db099b3f.jpg,128
data/processed/train/00000001.jpg,15
data/processed/train/2a60f83c5503434d83efe660e4311c9a.jpg,7
data/processed/train/86dc29b8fee648abb8d9d4be46863bdb.jpg,143
data/processed/train/aea699e346d64c2b9922f55947df73f4.jpg,147
data/processed/train/f61fb01d34aa4955bb41b2b88c187ae0.jpg,134
data/processed/train/112a253898c94060aecb958b0001ddae.jpg,84
data/processed/train/32d6610d5b9141b6a3864360ac67bec8.jpg,140
data/processed/train/bf77a3b1b3c24e56bc44da74a5fb2102.jpg,116
data/processed/train/00000042.jpeg,83
data/processed/train/621151a27f394a24ab2e791be529217c.jpg,89
data/processed/train/d938734444a34cc9b4283ffe958c8526.jpg,132
data/processed/train/67cf7f3c0aa14538bb6d82b9576ff481.jpg,110
data/processed/train/1cda95ccc345453b90c46657028cd978.jpg,10
data/processed/train/f663a8c63e394c719a8c8c8d5ee90ac7.jpg,58
data/processed/train/594a83612df446faa4a960bccb3e541d.jpg,86
data/processed/train/bdd70647363b47d0a97a6a9a1a7dd469.jpg,0
data/processed/train/5d75efd54afc4445a49d80eb2fca16c3.jpg,73
data/processed/train/f7046765fc224a14a6c25b258f953215.jpg,69
data/processed/train/3166c0b9da4340658c45d45ccba3a6d2.jpg,57
data/processed/train/59a7645819244d948371518b207f25b8.jpg,112
data/processed/train/b5f6ba94c4b745d3ac15b21b6ff10018.jpg,127
data/processed/train/8754c576fe484737a53070a30e3f7cac.jpg,135
data/processed/train/1af3140f459c4fdc85c330b7ef73d85c.jpg,127
data/processed/train/108472ab2a60450aa3947ce0011833fa.jpg,86
data/processed/train/1cdba87b33c248a3ae7dba228e179f8e.jpg,92
data/processed/train/280043b9cfe94caaad4db55d48650db3.jpg,39
data/processed/train/8f99265a38e54ba5a90833d2603e1a7f.jpg,43
data/processed/train/dcf3fb99f8b54ee191be9aee938df6ba.jpg,109
data/processed/train/5f65314520da48cda6581db0c9de8cf1.jpg,94
data/processed/train/b145ff36cc8c4d20a2fd6fa64aa874ed.jpg,131
data/processed/train/baf1c7f8608e4a0582432818e13ce0c9.jpg,30
data/processed/train/00000007.jpg,10
data/processed/train/16fcb3b32fff4aa49b4642ca6c5538f1.jpg,7
data/processed/train/6a43343c68924c82b2c40f65462d1ea4.jpg,111
data/processed/train/b5142c12a6d7469abdcaf08252541a28.jpg,85
data/processed/train/c0db0d49579446b09281a7f5f711fb42.jpg,46
data/processed/train/a8194ecd1f2b42c6b708747dff7c2830.jpg,39
data/processed/train/e94c549a88084e7aaa7fd5ae32b8e5ec.jpg,142
data/processed/train/0f9f6483dd1242d7935eefca4a1e87dc.jpg,45
data/processed/train/0901123172804f2d81446ddf001a9b44.jpg,95
data/processed/train/9c0ff304bc9648089506dc89b5732747.jpg,37
data/processed/train/731d81ba51b34e8a99cfeb7e6e3312d0.jpg,138
data/processed/train/00000068.jpg,83
data/processed/train/00000041.png,83
data/processed/train/d205b8fc46964042a43bd2ac577be3f6.jpg,63
data/processed/train/00000015.jpg,10
data/processed/train/d013b221c5ca4fa7844f8655c4f3b616.jpg,48
data/processed/train/3e6a2a5f42da49019b1296d7714f8942.jpg,9
data/processed/train/859bde188a30449d97133d1b0cb010a5.jpg,58
data/processed/train/eb710731d847406fad51319e7d875257.jpg,17
data/processed/train/a7382b4d25484712bfb77e09121a7104.jpg,4
data/processed/train/383d67ea6c164d6ea44d7c8be153b016.jpg,38
data/processed/train/5a7f349afc8640ef91c5058fb7033ce9.jpg,111
data/processed/train/528c9b774fd84788b4d38abff8055186.jpg,26
data/processed/train/4eb0fddd92b442b79764da0fc00cce3f.jpg,99
data/processed/train/50d606fe71a64cd7b47fbebc14f145b9.jpg,103
data/processed/train/d65b8b03964e440e8f5cb936ab163c55.jpg,42
data/processed/train/8aaf28f52b7e4fdebadd19cce77144b1.jpg,48
data/processed/train/b13a2e24470e4587992ed87eb191e41f.jpg,90
data/processed/train/f6e77c2d6bd648edb732c17aadd871fd.jpg,97
data/processed/train/85192881e59f4d73925b96169b602879.jpg,60
data/processed/train/9bf9e246031d4c30b43134239b5b47d1.jpg,25
data/processed/train/f42afbf9a6da42768462b2851259b0b5.jpg,93
data/processed/train/2a373754500d4b9c8917a82db50cf1c4.jpg,112
data/processed/train/276a2f970c0d4fdab84d75df91993a55.jpg,62
